eventNameJa,eventNameEn,tournamentNameJa,tournamentNameEn,date,status,prize,amount
P1 サーキット OSAKA,P1 Circuit OSAKA,#1 キックオフ,#1 Kickoff,2024-12-25,active,1,100000
P1 サーキット OSAKA,P1 Circuit OSAKA,#1 キックオフ,#1 Kickoff,2024-12-25,active,2,50000
P1 サーキット OSAKA,P1 Circuit OSAKA,#1 キックオフ,#1 Kickoff,2024-12-25,active,3,30000
P1 サーキット OSAKA,P1 Circuit OSAKA,#1 キックオフ,#1 Kickoff,2024-12-25,active,4,20000
P1 サーキット TOKYO,P1 Circuit TOKYO,#2 サマーカップ,#2 Summer Cup,2024-12-30,active,優勝,150000
P1 サーキット TOKYO,P1 Circuit TOKYO,#2 サマーカップ,#2 Summer Cup,2024-12-30,active,準優勝,80000
P1 サーキット TOKYO,P1 Circuit TOKYO,#2 サマーカップ,#2 Summer Cup,2024-12-30,active,3位,40000
P1 サーキット KYOTO,P1 Circuit KYOTO,#3 ウィンターチャンピオンシップ,#3 Winter Championship,2025-01-15,inactive,1,200000
P1 サーキット KYOTO,P1 Circuit KYOTO,#3 ウィンターチャンピオンシップ,#3 Winter Championship,2025-01-15,inactive,2,100000
P1 サーキット KYOTO,P1 Circuit KYOTO,#3 ウィンターチャンピオンシップ,#3 Winter Championship,2025-01-15,inactive,3,50000
P1 サーキット KYOTO,P1 Circuit KYOTO,#3 ウィンターチャンピオンシップ,#3 Winter Championship,2025-01-15,inactive,4,30000
P1 サーキット KYOTO,P1 Circuit KYOTO,#3 ウィンターチャンピオンシップ,#3 Winter Championship,2025-01-15,inactive,5,20000
